name,auc_cv_mean,auc_test,ap_true,f1_true,acc_test,brier
GradBoost,0.999936788874842,1.0,1.0,1.0,1.0,2.2532527756134103e-05
SVM-RBF,0.9879255463247245,0.9912698412698413,0.9788530194748254,0.9117647058823529,0.9536679536679536,0.03269019112046358
LDA,0.925,0.983,0.958,0.837,0.919,
