datasets_size,co2_eq_emissions,training_type,performance_metrics,performance_score,downloads,likes,size,size_efficency,datasets_size_efficency,auto,metric_accuracy,metric_f1,metric_rouge1,metric_rougeL
39769494896.0,149200.0,pretraining,"{'accuracy': nan, 'f1': nan, 'rouge1': nan, 'rougeL': nan}",,1172830,170,352833716.0,2364.837238605898,266551.5743699732,False,,,,
,133.0219882109991,Not Specified,"{'accuracy': nan, 'f1': nan, 'rouge1': 0.525404, 'rougeL': 0.501696}",0.513276380457599,14,0,308192133.0,2316851.049550894,,True,,,0.525404,0.501696
,126.34446293851818,Not Specified,"{'accuracy': nan, 'f1': nan, 'rouge1': 0.624613, 'rougeL': 0.58183}",0.602462912528814,14,1,308319365.0,2440307.693974959,,True,,,0.624613,0.58183
,7.989144645413398,Not Specified,"{'accuracy': 0.9728654124457308, 'f1': 0.949537871674076, 'rouge1': nan, 'rougeL': nan}",0.96106010720014,45,0,438043821.0,54829877.34506507,,True,0.9728654124457308,0.949537871674076,,
,55.10196329868386,Not Specified,"{'accuracy': 0.9298837645294338, 'f1': 0.9296904373981704, 'rouge1': nan, 'rougeL': nan}",0.9297870909143564,43,0,433331373.0,7864173.017776126,,True,0.9298837645294338,0.9296904373981704,,
,123.88023112815048,Not Specified,"{'accuracy': 0.7961119332705503, 'f1': 0.7616345204219084, 'rouge1': nan, 'rougeL': nan}",0.7784916846530444,13,0,1123320237.0,9067792.550677096,,True,0.7961119332705503,0.7616345204219084,,
,25.12873571489861,Not Specified,"{'accuracy': 0.7990650945370823, 'f1': 0.7429662929144928, 'rouge1': nan, 'rougeL': nan}",0.7699952619858437,14,0,328541293.0,13074326.409713112,,True,0.7990650945370823,0.7429662929144928,,
,4.214012748213151,Not Specified,"{'accuracy': nan, 'f1': nan, 'rouge1': 0.4118079999999999, 'rougeL': 0.313106}",0.3557375237559213,3,0,2279631601.0,540964571.5871699,,True,,,0.4118079999999999,0.313106
,137.60574081887984,Not Specified,"{'accuracy': nan, 'f1': nan, 'rouge1': 0.448482, 'rougeL': 0.4017159999999999}",0.4238127944596434,46,19,2279631601.0,16566398.955698432,,True,,,0.448482,0.4017159999999999
,60.744727079482495,Not Specified,"{'accuracy': 0.8615328555811976, 'f1': 0.8642434650461513, 'rouge1': nan, 'rougeL': nan}",0.862886031589464,26,0,1340749741.0,22071870.35749906,,True,0.8615328555811976,0.8642434650461513,,
,6.2107269129101805,Not Specified,"{'accuracy': 0.9714309035997062, 'f1': 0.9728305785123968, 'rouge1': nan, 'rougeL': nan}",0.972130237242681,55,2,433465905.0,69793103.2998663,,True,0.9714309035997062,0.9728305785123968,,
,0.9413042739759596,Not Specified,"{'accuracy': 0.8641304347826086, 'f1': 0.8226950354609929, 'rouge1': nan, 'rougeL': nan}",0.8429038228640633,20,0,442323117.0,469904502.9634028,,True,0.8641304347826086,0.8226950354609929,,
,8.655894631203154,Not Specified,"{'accuracy': nan, 'f1': nan, 'rouge1': nan, 'rougeL': nan}",,19,0,498671021.0,57610569.70383726,,True,,,,
,27.135492487925884,Not Specified,"{'accuracy': 0.6377269139700079, 'f1': 0.5181293370145044, 'rouge1': nan, 'rougeL': nan}",0.5717406863528977,21,0,437190509.0,16111390.246354688,,True,0.6377269139700079,0.5181293370145044,,
,3.273303707756322,Not Specified,"{'accuracy': 0.8333333333333334, 'f1': 0.7937936978656889, 'rouge1': nan, 'rougeL': nan}",0.8130831035779119,21,0,1340749741.0,409601387.6815035,,True,0.8333333333333334,0.7937936978656889,,
,70.95647633212745,Not Specified,"{'accuracy': 0.9760103738923708, 'f1': 0.9728412857204902, 'rouge1': nan, 'rougeL': nan}",0.9744232531301116,24,0,1340745645.0,18895324.49052774,,True,0.9760103738923708,0.9728412857204902,,
13187500000.0,4009.5,pretraining,"{'accuracy': nan, 'f1': 0.8008, 'rouge1': nan, 'rougeL': nan}",,570,1,57979406.0,14460.507793989276,3289063.47424866,False,,0.8008,,
7187500000.0,4009.5,pretraining,"{'accuracy': nan, 'f1': 0.7803, 'rouge1': nan, 'rougeL': nan}",,68,0,57979403.0,14460.507045766304,1792617.533358274,False,,0.7803,,
,4.819872182577655,Not Specified,"{'accuracy': 0.9997478885667463, 'f1': 0.9991190902836992, 'rouge1': nan, 'rougeL': nan}",0.999433390522373,9,0,267869297.0,55576016.71850646,,True,0.9997478885667463,0.9991190902836992,,
,155.8470724053265,Not Specified,"{'accuracy': nan, 'f1': nan, 'rouge1': 0.526656, 'rougeL': 0.401268}",0.4554903199141309,4,0,2283825905.0,14654275.308170268,,True,,,0.526656,0.401268
,23.42719853096565,Not Specified,"{'accuracy': 0.9817757009345794, 'f1': 0.9808917197452228, 'rouge1': nan, 'rougeL': nan}",0.9813335112682868,13,0,1421611309.0,60682087.40882696,,True,0.9817757009345794,0.9808917197452228,,
,208.0823957145878,Not Specified,"{'accuracy': 0.8767479025169796, 'f1': 0.8618813750734912, 'rouge1': nan, 'rougeL': nan}",0.8692510790585288,23,0,1341249901.0,6445763.450550135,,True,0.8767479025169796,0.8618813750734912,,
,5.680803958729511,Not Specified,"{'accuracy': nan, 'f1': nan, 'rouge1': 0.3814909999999999, 'rougeL': 0.268448}",0.3151387929267208,4,0,2279631601.0,401286792.77815294,,True,,,0.3814909999999999,0.268448
,69.86520391863117,Not Specified,"{'accuracy': 0.9539955699437724, 'f1': 0.9549699799866576, 'rouge1': nan, 'rougeL': nan}",0.9544825262768792,10,0,1421611309.0,20347916.119384497,,True,0.9539955699437724,0.9549699799866576,,
,5.448567309047846,Not Specified,"{'accuracy': 0.9867109634551496, 'f1': 0.9859067529980614, 'rouge1': nan, 'rougeL': nan}",0.9863086942935602,1770,3,1340749741.0,246073814.44541612,,True,0.9867109634551496,0.9859067529980614,,
,1.9859980179658825,Not Specified,"{'accuracy': 0.9833887043189368, 'f1': 0.9832763664701248, 'rouge1': nan, 'rougeL': nan}",0.9833325321861064,18,0,498683309.0,251099600.5478224,,True,0.9833887043189368,0.9832763664701248,,
,39.76330395590446,Not Specified,"{'accuracy': nan, 'f1': nan, 'rouge1': nan, 'rougeL': nan}",,46,4,2235534897.0,56221054.95758345,,True,,,,
,25.894117734124272,Not Specified,"{'accuracy': 0.92604, 'f1': 0.923522355958142, 'rouge1': nan, 'rougeL': nan}",0.9247794644570854,8,0,498674093.0,19258199.801216938,,True,0.92604,0.923522355958142,,
,5.340540212393564,Not Specified,"{'accuracy': 0.9587076867229332, 'f1': 0.7626816212082591, 'rouge1': nan, 'rougeL': nan}",0.8495332571263927,6,2,1336566961.0,250268120.42315236,,True,0.9587076867229332,0.7626816212082591,,
,30.68499581938628,Not Specified,"{'accuracy': 0.9688222161294112, 'f1': 0.8338204592901879, 'rouge1': nan, 'rougeL': nan}",0.8962661277676977,9,0,267860081.0,8729350.415318303,,True,0.9688222161294112,0.8338204592901879,,
,64.58945483765274,Not Specified,"{'accuracy': 0.9586074193404036, 'f1': 0.9468339778730884, 'rouge1': nan, 'rougeL': nan}",0.9526843254272334,31,1,540872877.0,8374012.11017337,,True,0.9586074193404036,0.9468339778730884,,
,88.89388195672073,Not Specified,"{'accuracy': 0.6207088513638894, 'f1': 0.4625080366154476, 'rouge1': nan, 'rougeL': nan}",0.5300560494208588,58,1,1340753837.0,15082633.444366455,,True,0.6207088513638894,0.4625080366154476,,
,5.999771405025692,Not Specified,"{'accuracy': 0.7636103151862464, 'f1': 0.770630619486531, 'rouge1': nan, 'rougeL': nan}",0.7671044057546141,31,0,438046893.0,73010597.14259633,,True,0.7636103151862464,0.770630619486531,,
,0.4362732160754736,Not Specified,"{'accuracy': 0.8222222222222222, 'f1': 0.2912091747693842, 'rouge1': nan, 'rougeL': nan}",0.4300914370787903,10,0,328565869.0,753119506.0646569,,True,0.8222222222222222,0.2912091747693842,,
,1.268309634217171,Not Specified,"{'accuracy': 0.8873239436619719, 'f1': 0.8859416445623343, 'rouge1': nan, 'rougeL': nan}",0.8866322553460445,69,0,438025389.0,345361556.1868369,,True,0.8873239436619719,0.8859416445623343,,
,8.612473981829835,Not Specified,"{'accuracy': 0.6083916083916084, 'f1': 0.5420169617715481, 'rouge1': nan, 'rougeL': nan}",0.5732894898391745,17,0,711639341.0,82628910.40383762,,True,0.6083916083916084,0.5420169617715481,,
,1.4280361775467445,Not Specified,"{'accuracy': 0.7666078777189889, 'f1': 0.6532751091703057, 'rouge1': nan, 'rougeL': nan}",0.7054184741023813,10,2,263172209.0,184289595.1362447,,True,0.7666078777189889,0.6532751091703057,,
,3.651199395353127,Not Specified,"{'accuracy': 0.8036219581211093, 'f1': 0.807095210403678, 'rouge1': nan, 'rougeL': nan}",0.8053548395076799,6862,0,267863153.0,73363057.99702662,,True,0.8036219581211093,0.807095210403678,,
,72.26141764997115,Not Specified,"{'accuracy': nan, 'f1': nan, 'rouge1': 0.477785, 'rougeL': 0.402231}",0.4367646459496191,3,1,1625557313.0,22495508.19600685,,True,,,0.477785,0.402231
,10.411685187181709,Not Specified,"{'accuracy': 0.9475446428571428, 'f1': 0.9548511047070124, 'rouge1': nan, 'rougeL': nan}",0.9511838429515233,9,0,328525933.0,31553579.18470902,,True,0.9475446428571428,0.9548511047070124,,
,8.898145050355591,Not Specified,"{'accuracy': 0.9520089285714286, 'f1': 0.958956411072224, 'rouge1': nan, 'rougeL': nan}",0.9554700407301056,14,0,328525933.0,36920721.244802736,,True,0.9520089285714286,0.958956411072224,,
,2.0686690092905224,Not Specified,"{'accuracy': 0.7572692793931732, 'f1': 0.7692307692307693, 'rouge1': nan, 'rougeL': nan}",0.76320315983946,27,0,438019245.0,211739646.6195549,,True,0.7572692793931732,0.7692307692307693,,
,27.22397099134103,Not Specified,"{'accuracy': 0.8066924731182795, 'f1': 0.7835463282531184, 'rouge1': nan, 'rougeL': nan}",0.7949509530218459,7,0,267893873.0,9840367.266230464,,True,0.8066924731182795,0.7835463282531184,,
,186.8637425115097,Not Specified,"{'accuracy': 0.9233253193796256, 'f1': 0.9240407542958708, 'rouge1': nan, 'rougeL': nan}",0.9236828983034516,29,0,438046893.0,2344204.85810948,,True,0.9233253193796256,0.9240407542958708,,
,2.2247356264808964,Not Specified,"{'accuracy': 0.676854818831649, 'f1': 0.3297126297995653, 'rouge1': nan, 'rougeL': nan}",0.4434230067999255,7,0,267866225.0,120403620.9118981,,True,0.676854818831649,0.3297126297995653,,
,3.667033499762825,Not Specified,"{'accuracy': 0.9133333333333332, 'f1': 0.9221556886227544, 'rouge1': nan, 'rougeL': nan}",0.9177233084669087,22,1,1334486957.0,363914580.29666525,,True,0.9133333333333332,0.9221556886227544,,
,114.71292762345828,Not Specified,"{'accuracy': nan, 'f1': nan, 'rouge1': 0.524988, 'rougeL': 0.471727}",0.4969344582473425,148,7,557979193.0,4864135.233576723,,True,,,0.524988,0.471727
,396.629376395644,Not Specified,"{'accuracy': nan, 'f1': nan, 'rouge1': 0.517922, 'rougeL': 0.464585}",0.4898057568444805,3,0,1625557313.0,4098428.9357792833,,True,,,0.517922,0.464585
2600000.0,0.319355,fine-tuning,"{'accuracy': 0.62, 'f1': nan, 'rouge1': nan, 'rougeL': nan}",,1292,10,268000000.0,839191495.3578306,8141410.0295908945,False,0.62,,,
155000.0,0.1069,fine-tuning,"{'accuracy': 0.71, 'f1': nan, 'rouge1': nan, 'rougeL': nan}",,6,2,268000000.0,2507015902.712816,1449953.227315248,False,0.71,,,
3500000000.0,7540.0,fine-tuning,"{'accuracy': nan, 'f1': nan, 'rouge1': nan, 'rougeL': nan}",,184,279,1750000000.0,232095.4907161804,464190.9814323608,False,,,,
,10.14880558843294,Not Specified,"{'accuracy': nan, 'f1': nan, 'rouge1': 0.324854, 'rougeL': 0.300602}",0.3122578154434524,8,0,2283825905.0,225033959.42503637,,True,,,0.324854,0.300602
,11.98841452241473,Not Specified,"{'accuracy': 0.86783988957902, 'f1': 0.8669477050676501, 'rouge1': nan, 'rougeL': nan}",0.8673935679023947,7,1,71811793.0,5990099.263395801,,True,0.86783988957902,0.8669477050676501,,
,2.7516207978192737,Not Specified,"{'accuracy': 0.7559139784946236, 'f1': 0.4594734612976928, 'rouge1': nan, 'rougeL': nan}",0.5715418816597024,32,0,438022317.0,159187020.73597616,,True,0.7559139784946236,0.4594734612976928,,
,2.243912766446172,Not Specified,"{'accuracy': 0.7596774193548387, 'f1': 0.4740565300039588, 'rouge1': nan, 'rougeL': nan}",0.5838050278650202,19,0,498677165.0,222235539.83775708,,True,0.7596774193548387,0.4740565300039588,,
,123.79523392848652,Not Specified,"{'accuracy': 0.9714953271028036, 'f1': 0.9694235588972432, 'rouge1': nan, 'rougeL': nan}",0.9704583372805808,15,0,890430161.0,7192766.092387528,,True,0.9714953271028036,0.9694235588972432,,
,3.842950628218143,Not Specified,"{'accuracy': 0.8679706601466992, 'f1': 0.719846919916469, 'rouge1': nan, 'rougeL': nan}",0.7869997336338965,17,0,498692525.0,129768132.15818708,,True,0.8679706601466992,0.719846919916469,,
,133.57087522185148,Not Specified,"{'accuracy': 0.9325402190077058, 'f1': 0.7283811287183823, 'rouge1': nan, 'rougeL': nan}",0.8179131398678829,17,0,498741741.0,3733910.855728289,,True,0.9325402190077058,0.7283811287183823,,
,610.861733873082,Not Specified,"{'accuracy': 0.9264228741381642, 'f1': 0.6730537318152493, 'rouge1': nan, 'rougeL': nan}",0.7796705126625172,22,0,1334577133.0,2184745.0232940656,,True,0.9264228741381642,0.6730537318152493,,
,6.826886567147602,Not Specified,"{'accuracy': 0.9578392621870884, 'f1': 0.9255813953488372, 'rouge1': nan, 'rougeL': nan}",0.9414340840616112,9,0,1337755565.0,195953975.77536413,,True,0.9578392621870884,0.9255813953488372,,
,9.446754273734577,Not Specified,"{'accuracy': 0.9407114624505928, 'f1': 0.9028077753779696, 'rouge1': nan, 'rougeL': nan}",0.9213699594346788,9,0,1337755565.0,141610073.2840536,,True,0.9407114624505928,0.9028077753779696,,
,20.79016987800992,Not Specified,"{'accuracy': 0.9789, 'f1': 0.9787811745776348, 'rouge1': nan, 'rougeL': nan}",0.9788405836826426,50,0,504004013.0,24242419.179705344,,True,0.9789,0.9787811745776348,,
,210.6348731063569,Not Specified,"{'accuracy': nan, 'f1': nan, 'rouge1': 0.505981, 'rougeL': 0.4605129999999999}",0.4821774956761242,6,1,2283825905.0,10842582.101050364,,True,,,0.505981,0.4605129999999999
,437.2441955971972,Not Specified,"{'accuracy': nan, 'f1': nan, 'rouge1': 0.037729, 'rougeL': 0.035066}",0.0363487908235455,6,0,1200770885.0,2746224.8718018136,,True,,,0.037729,0.035066
,1133.9679082840014,Not Specified,"{'accuracy': nan, 'f1': nan, 'rouge1': 0.094193, 'rougeL': 0.079376}",0.0861520613473604,3,0,2329700301.0,2054467.5770635025,,True,,,0.094193,0.079376
97000000.0,0.0,fine-tuning,"{'accuracy': nan, 'f1': nan, 'rouge1': nan, 'rougeL': nan}",,15,0,57007313.0,inf,inf,False,,,,
19525445000.0,28.53,pretraining,"{'accuracy': nan, 'f1': nan, 'rouge1': nan, 'rougeL': nan}",,6,0,57591810.0,2018640.378548896,684382930.2488608,False,,,,
,0.21,fine-tuning,"{'accuracy': nan, 'f1': nan, 'rouge1': nan, 'rougeL': nan}",,8,0,57007313.0,271463395.2380952,,False,,,,
,28.53,pretraining,"{'accuracy': nan, 'f1': nan, 'rouge1': nan, 'rougeL': nan}",,6,2,83391338.0,2922935.085874518,,False,,,,
,17.0,fine-tuning,"{'accuracy': nan, 'f1': nan, 'rouge1': nan, 'rougeL': nan}",,5,0,990280781.0,58251810.64705882,,False,,,,
,17.0,fine-tuning,"{'accuracy': nan, 'f1': nan, 'rouge1': nan, 'rougeL': nan}",,19,1,990280781.0,58251810.64705882,,False,,,,
,17.0,fine-tuning,"{'accuracy': nan, 'f1': nan, 'rouge1': nan, 'rougeL': nan}",,4,0,990280781.0,58251810.64705882,,False,,,,
,17.0,fine-tuning,"{'accuracy': nan, 'f1': nan, 'rouge1': nan, 'rougeL': nan}",,5,1,990280781.0,58251810.64705882,,False,,,,
,17.0,fine-tuning,"{'accuracy': nan, 'f1': nan, 'rouge1': nan, 'rougeL': nan}",,4410,0,990284749.0,58252044.058823526,,False,,,,
58723160.0,17.0,fine-tuning,"{'accuracy': nan, 'f1': nan, 'rouge1': nan, 'rougeL': nan}",,245,1,990280781.0,58251810.64705882,3454303.529411765,False,,,,
58723160.0,17.0,fine-tuning,"{'accuracy': nan, 'f1': nan, 'rouge1': nan, 'rougeL': nan}",,25,0,990280781.0,58251810.64705882,3454303.529411765,False,,,,
